Time,Channel D
(us),(mV)

0.51600001,0.00000000
0.51680001,0.39370070
0.51760001,0.39370070
0.51840001,0.39370070
0.51920001,1.57480300
0.52000001,1.96850400
0.52080001,2.36220500
0.52160001,1.96850400
0.52240001,1.18110200
0.52320001,0.00000000
0.52400001,0.00000000
0.52480001,-0.39370070
0.52560001,0.00000000
0.52640001,0.00000000
0.52720001,0.00000000
0.52800001,0.00000000
0.52880001,0.00000000
0.52960001,0.39370070
0.53040001,0.39370070
0.53120001,0.78740150
0.53200001,0.78740150
0.53280001,0.39370070
0.53360001,-0.39370070
0.53440001,-0.39370070
0.53520001,-0.78740150
0.53600001,-0.39370070
0.53680001,-0.39370070
0.53760001,0.00000000
0.53840001,0.00000000
0.53920001,0.39370070
0.54000001,0.78740150
0.54080001,0.78740150
0.54160001,1.18110200
0.54240001,0.78740150
0.54320001,0.00000000
0.54400001,-1.18110200
0.54480001,-1.96850400
0.54560001,-2.36220500
0.54640001,-2.36220500
0.54720001,-1.57480300
0.54800001,-0.78740150
0.54880001,0.39370070
0.54960001,0.39370070
0.55040001,1.18110200
0.55120001,1.18110200
0.55200001,1.57480300
0.55280001,1.57480300
0.55360001,0.39370070
0.55440001,-0.39370070
0.55520001,-1.96850400
0.55600001,-2.75590500
0.55680001,-2.75590500
0.55760001,-2.36220500
0.55840001,-0.78740150
0.55920001,0.39370070
0.56000001,1.57480300
0.56080001,1.57480300
0.56160001,1.57480300
0.56240001,1.57480300
0.56320001,1.18110200
0.56400001,0.00000000
0.56480001,-0.39370070
0.56560001,-0.78740150
0.56640001,-1.18110200
0.56720001,-1.18110200
0.56800001,-0.39370070
0.56880001,0.39370070
0.56960001,1.18110200
0.57040001,1.96850400
0.57120001,1.96850400
0.57200001,1.18110200
0.57280001,0.39370070
0.57360001,0.00000000
0.57440001,-0.78740150
0.57520001,-1.18110200
0.57600001,-1.18110200
0.57680001,-0.78740150
0.57760001,-0.39370070
0.57840001,0.39370070
0.57920001,1.18110200
0.58000001,1.96850400
0.58080001,2.75590500
0.58160001,2.75590500
0.58240001,1.57480300
0.58320001,0.00000000
0.58400001,-0.78740150
0.58480001,-1.96850400
0.58560001,-1.96850400
0.58640001,-2.36220500
0.58720001,-1.18110200
0.58800001,0.00000000
0.58880001,0.39370070
0.58960001,1.18110200
0.59040001,1.18110200
0.59120001,1.18110200
0.59200001,1.18110200
0.59280001,0.78740150
0.59360001,0.78740150
0.59440001,0.00000000
0.59520001,-0.39370070
0.59600001,-0.78740150
0.59680001,0.00000000
0.59760001,0.39370070
0.59840001,0.78740150
0.59920001,0.78740150
0.60000001,0.39370070
0.60080001,-0.39370070
0.60160001,-0.39370070
0.60240001,-0.39370070
0.60320001,-0.39370070
0.60400001,-0.39370070
0.60480001,0.00000000
0.60560001,-0.39370070
0.60640001,0.00000000
0.60720001,0.00000000
0.60800001,0.39370070
0.60880001,0.78740150
0.60960001,0.39370070
0.61040001,0.00000000
0.61120001,0.00000000
0.61200001,0.00000000
0.61280001,0.00000000
0.61360001,-0.39370070
0.61440001,-0.39370070
0.61520001,-0.39370070
0.61600001,-0.39370070
0.61680001,-0.39370070
0.61760001,-0.39370070
0.61840001,-0.78740150
0.61920001,-0.39370070
0.62000001,0.00000000
0.62080001,0.39370070
0.62160001,0.78740150
0.62240001,0.78740150
0.62320001,0.39370070
0.62400001,0.39370070
0.62480001,0.39370070
0.62560001,0.39370070
0.62640001,0.00000000
0.62720001,-0.39370070
0.62800001,-1.18110200
0.62880001,-1.18110200
0.62960001,-1.57480300
0.63040001,-1.57480300
0.63120001,-1.18110200
0.63200001,0.00000000
0.63280001,0.78740150
0.63360001,1.57480300
0.63440001,0.78740150
0.63520001,0.00000000
0.63600001,-0.78740150
0.63680001,-0.78740150
0.63760001,-1.18110200
0.63840001,-1.18110200
0.63920001,-1.18110200
0.64000001,-1.57480300
0.64080001,-1.57480300
0.64160001,-0.39370070
0.64240001,1.18110200
0.64320001,2.75590500
0.64400001,3.14960600
0.64480001,2.75590500
0.64560001,0.78740150
0.64640001,-0.39370070
0.64720001,-1.57480300
0.64800001,-1.96850400
0.64880001,-1.18110200
0.64960001,-0.78740150
0.65040001,-0.39370070
0.65120001,0.39370070
0.65200001,0.78740150
0.65280001,2.36220500
0.65360001,3.54330700
0.65440001,4.33070900
0.65520001,3.93700800
0.65600001,1.96850400
0.65680001,0.00000000
0.65760001,-1.18110200
0.65840001,-1.18110200
0.65920001,-0.39370070
0.66000001,0.78740150
0.66080001,1.96850400
0.66160001,2.36220500
0.66240001,2.36220500
0.66320001,2.75590500
0.66400001,3.93700800
0.66480001,4.33070900
0.66560001,3.54330700
0.66640001,1.57480300
0.66720001,0.00000000
0.66800001,-1.57480300
0.66880001,-1.18110200
0.66960001,-0.39370070
0.67040001,1.18110200
0.67120001,1.96850400
0.67200001,2.36220500
0.67280001,2.75590500
0.67360001,2.75590500
0.67440001,1.96850400
0.67520001,1.57480300
0.67600001,0.78740150
0.67680001,-0.39370070
0.67760001,-1.96850400
0.67840001,-2.36220500
0.67920001,-2.36220500
0.68000001,-1.96850400
0.68080001,-0.78740150
0.68160001,0.39370070
0.68240001,1.18110200
0.68320001,1.57480300
0.68400001,1.57480300
0.68480001,1.18110200
0.68560001,-0.39370070
0.68640001,-1.57480300
0.68720001,-2.75590500
0.68800001,-3.14960600
0.68880001,-3.54330700
0.68960001,-2.75590500
0.69040001,-2.75590500
0.69120001,-2.36220500
0.69200001,-1.57480300
0.69280001,-1.18110200
0.69360001,-0.39370070
0.69440001,-0.39370070
0.69520001,-0.39370070
0.69600001,-0.78740150
0.69680001,-1.96850400
0.69760001,-3.14960600
0.69840001,-3.14960600
0.69920001,-2.75590500
0.70000001,-1.96850400
0.70080001,-1.96850400
0.70160001,-1.57480300
0.70240001,-2.36220500
0.70320001,-2.75590500
0.70400001,-1.96850400
0.70480001,-1.57480300
0.70560001,-1.18110200
0.70640001,-0.78740150
0.70720001,-1.18110200
0.70800001,-1.57480300
0.70880001,-0.78740150
0.70960001,0.00000000
0.71040001,1.18110200
0.71120001,1.57480300
0.71200001,1.57480300
0.71280001,0.39370070
0.71360001,-1.18110200
0.71440001,-0.78740150
0.71520001,-0.78740150
0.71600001,0.78740150
0.71680001,1.57480300
0.71760001,1.57480300
0.71840001,1.18110200
0.71920001,1.57480300
0.72000001,1.96850400
0.72080001,3.14960600
0.72160001,3.93700800
0.72240001,3.14960600
0.72320001,2.36220500
0.72400001,1.18110200
0.72480001,0.39370070
0.72560001,0.78740150
0.72640001,1.96850400
0.72720001,3.14960600
0.72800001,3.93700800
0.72880001,3.54330700
0.72960001,2.75590500
0.73040001,1.96850400
0.73120001,1.96850400
0.73200001,2.36220500
0.73280001,2.36220500
0.73360001,1.96850400
0.73440001,1.18110200
0.73520001,0.39370070
0.73600001,0.39370070
0.73680001,1.96850400
0.73760001,3.14960600
0.73840001,4.33070900
0.73920001,3.93700800
0.74000001,2.75590500
0.74080001,1.57480300
0.74160001,0.78740150
0.74240001,0.39370070
0.74320001,0.39370070
0.74400001,0.39370070
0.74480001,-0.39370070
0.74560001,-0.39370070
0.74640001,-0.39370070
0.74720001,0.39370070
0.74800001,1.57480300
0.74880001,2.36220500
0.74960001,2.36220500
0.75040001,1.57480300
0.75120001,0.39370070
0.75200001,0.00000000
0.75280001,-1.18110200
0.75360001,-1.96850400
0.75440001,-2.75590500
0.75520001,-3.14960600
0.75600001,-3.14960600
0.75680001,-2.36220500
0.75760001,-2.36220500
0.75840001,-1.96850400
0.75920001,-2.36220500
0.76000001,-2.36220500
0.76080001,-2.36220500
0.76160001,-2.75590500
0.76240001,-2.36220500
0.76320001,-2.75590500
0.76400001,-2.36220500
0.76480001,-1.96850400
0.76560001,-1.57480300
0.76640001,-1.18110200
0.76720001,-0.78740150
0.76800001,-0.78740150
0.76880001,-1.18110200
0.76960001,-2.75590500
0.77040001,-3.14960600
0.77120001,-3.54330700
0.77200001,-3.14960600
0.77280001,-2.75590500
0.77360001,-2.36220500
0.77440001,-1.96850400
0.77520001,-1.96850400
0.77600001,-1.57480300
0.77680001,-0.39370070
0.77760001,0.39370070
0.77840001,0.39370070
0.77920001,0.00000000
0.78000001,-0.78740150
0.78080001,-1.57480300
0.78160001,-1.18110200
0.78240001,0.00000000
0.78320001,0.78740150
0.78400001,1.18110200
0.78480001,1.18110200
0.78560001,0.39370070
0.78640001,-0.39370070
0.78720001,-0.39370070
0.78800001,0.00000000
0.78880001,1.18110200
0.78960001,1.96850400
0.79040001,1.57480300
0.79120001,1.96850400
0.79200001,2.75590500
0.79280001,3.93700800
0.79360001,5.11811000
0.79440001,6.29921200
0.79520001,5.51181100
0.79600001,3.93700800
0.79680001,1.96850400
0.79760001,0.39370070
0.79840001,0.00000000
0.79920001,0.39370070
0.80000001,1.18110200
0.80080001,1.96850400
0.80160001,2.36220500
0.80240001,2.75590500
0.80320001,3.54330700
0.80400001,4.72440900
0.80480001,5.90551100
0.80560001,5.90551100
0.80640001,3.93700800
0.80720001,1.57480300
0.80800001,0.00000000
0.80880001,-0.39370070
0.80960001,-0.78740150
0.81040001,0.78740150
0.81120001,0.78740150
0.81200001,1.18110200
0.81280001,1.18110200
0.81360001,0.78740150
0.81440001,1.57480300
0.81520001,1.96850400
0.81600001,1.96850400
0.81680001,1.18110200
0.81760001,0.39370070
0.81840001,-1.18110200
0.81920001,-1.96850400
0.82000001,-1.57480300
0.82080001,-0.39370070
0.82160001,0.39370070
0.82240001,0.78740150
0.82320001,0.00000000
0.82400001,-1.18110200
0.82480001,-2.36220500
0.82560001,-3.54330700
0.82640001,-3.54330700
0.82720001,-3.54330700
0.82800001,-3.54330700
0.82880001,-3.54330700
0.82960001,-3.54330700
0.83040001,-3.54330700
0.83120001,-2.36220500
0.83200001,-1.18110200
0.83280001,0.00000000
0.83360001,0.39370070
0.83440001,-0.39370070
0.83520001,-1.96850400
0.83600001,-3.93700800
0.83680001,-4.72440900
0.83760001,-4.72440900
0.83840001,-4.33070900
0.83920001,-3.14960600
0.84000001,-2.36220500
0.84080001,-2.36220500
0.84160001,-2.36220500
0.84240001,-1.57480300
0.84320001,-0.78740150
0.84400001,0.39370070
0.84480001,0.78740150
0.84560001,0.00000000
0.84640001,-1.18110200
0.84720001,-2.36220500
0.84800001,-2.75590500
0.84880001,-2.36220500
0.84960001,-0.78740150
0.85040001,0.00000000
0.85120001,0.39370070
0.85200001,0.00000000
0.85280001,0.00000000
0.85360001,0.00000000
0.85440001,0.78740150
0.85520001,1.18110200
0.85600001,1.57480300
0.85680001,1.57480300
0.85760001,1.57480300
0.85840001,1.18110200
0.85920001,1.18110200
0.86000001,2.75590500
0.86080001,3.54330700
0.86160001,4.33070900
0.86240001,3.93700800
0.86320001,3.54330700
0.86400001,2.75590500
0.86480001,2.75590500
0.86560001,3.14960600
0.86640001,2.75590500
0.86720001,2.75590500
0.86800001,1.96850400
0.86880001,1.96850400
0.86960001,1.96850400
0.87040001,2.36220500
0.87120001,3.93700800
0.87200001,4.72440900
0.87280001,5.11811000
0.87360001,4.72440900
0.87440001,3.93700800
0.87520001,3.14960600
0.87600001,2.75590500
0.87680001,2.75590500
0.87760001,2.75590500
0.87840001,2.36220500
0.87920001,1.96850400
0.88000001,1.18110200
0.88080001,0.78740150
0.88160001,1.18110200
0.88240001,1.96850400
0.88320001,2.36220500
0.88400001,3.14960600
0.88480001,3.54330700
0.88560001,2.75590500
0.88640001,1.57480300
0.88720001,0.39370070
0.88800001,-0.78740150
0.88880001,-1.96850400
0.88960001,-2.75590500
0.89040001,-2.75590500
0.89120001,-3.14960600
0.89200001,-2.75590500
